mouse_ensembl_id,mouse_entrez_id,mouse_symbol,human_symbol,human_entrez_id
ENSMUSG00000000001,14679,Gnai3,GNAI3,2773
ENSMUSG00000000003,54192,Pbsn,NA,NA
ENSMUSG00000000028,12544,Cdc45,CDC45,8318
ENSMUSG00000000031,14955,H19,NA,NA
ENSMUSG00000000037,107815,Scml2,NA,NA
ENSMUSG00000000049,11818,Apoh,APOH,350
ENSMUSG00000000056,67608,Narf,NARF,26502
ENSMUSG00000000058,12390,Cav2,CAV2,858
ENSMUSG00000000078,23849,Klf6,KLF6,1316
ENSMUSG00000000085,29871,Scmh1,SCMH1,22955
ENSMUSG00000000088,12858,Cox5a,COX5A,9377
ENSMUSG00000000093,21385,Tbx2,TBX2,6909
ENSMUSG00000000094,21387,Tbx4,TBX4,9496
ENSMUSG00000000103,22768,Zfy2,NA,NA
ENSMUSG00000000120,18053,Ngfr,NGFR,4804
ENSMUSG00000000125,22415,Wnt3,WNT3,7473
ENSMUSG00000000126,216795,Wnt9a,WNT9A,7483
ENSMUSG00000000127,14158,Fer,FER,2241
ENSMUSG00000000131,74204,Xpo6,XPO6,23214
ENSMUSG00000000134,209446,Tfe3,TFE3,7030
ENSMUSG00000000142,12006,Axin2,AXIN2,8313
ENSMUSG00000000148,231841,Brat1,BRAT1,221927
ENSMUSG00000000149,14673,Gna12,GNA12,2768
ENSMUSG00000000154,18400,Slc22a18,SLC22A18,5002
ENSMUSG00000000157,16415,Itgb2l,NA,NA
ENSMUSG00000000159,72058,Igsf5,IGSF5,150084
ENSMUSG00000000167,72614,Pih1d2,PIH1D2,120379
ENSMUSG00000000168,235339,Dlat,DLAT,1737
ENSMUSG00000000171,66925,Sdhd,SDHD,6392
ENSMUSG00000000182,64654,Fgf23,FGF23,8074
ENSMUSG00000000183,14177,Fgf6,FGF6,2251
ENSMUSG00000000184,12444,Ccnd2,CCND2,894
ENSMUSG00000000194,277463,Gpr107,GPR107,57720
ENSMUSG00000000197,338370,Nalcn,NALCN,259232
ENSMUSG00000000202,72014,Btbd17,BTBD17,388419
ENSMUSG00000000204,20558,Slfn4,SLFN12L,100506736
ENSMUSG00000000214,21823,Th,TH,7054
ENSMUSG00000000215,16334,Ins2,INS,3630
ENSMUSG00000000216,20278,Scnn1g,SCNN1G,6340
ENSMUSG00000000223,13497,Drp2,DRP2,1821
ENSMUSG00000000244,27027,Tspan32,TSPAN32,10077
ENSMUSG00000000247,16870,Lhx2,LHX2,9355
ENSMUSG00000000248,70809,Clec2g,NA,NA
ENSMUSG00000000253,66355,Gmpr,GMPR,2766
ENSMUSG00000000263,14654,Glra1,GLRA1,2741
ENSMUSG00000000266,23947,Mid2,MID2,11043
ENSMUSG00000000275,217069,Trim25,TRIM25,7706
ENSMUSG00000000276,56077,Dgke,DGKE,8526
ENSMUSG00000000278,74617,Scpep1,SCPEP1,59342
ENSMUSG00000000282,17428,Mnt,MNT,4335
ENSMUSG00000000290,16414,Itgb2,ITGB2,3689
ENSMUSG00000000295,69692,Hddc2,HDDC2,51020
ENSMUSG00000000296,21987,Tpd52l1,TPD52L1,7164
ENSMUSG00000000301,18618,Pemt,PEMT,10400
ENSMUSG00000000303,12550,Cdh1,CDH1,999
ENSMUSG00000000305,12561,Cdh4,CDH4,1002
ENSMUSG00000000308,12716,Ckmt1,CKMT1B,1159
ENSMUSG00000000317,12029,Bcl6b,BCL6B,255877
ENSMUSG00000000318,17312,Clec10a,CLEC10A,10462
ENSMUSG00000000320,11684,Alox12,ALOX12,239
ENSMUSG00000000326,12846,Comt,COMT,1312
ENSMUSG00000000339,66368,Rtca,RTCA,8634
ENSMUSG00000000340,13171,Dbt,DBT,1629
ENSMUSG00000000346,23994,Dazap2,DAZAP2,9802
ENSMUSG00000000355,68995,Mcts1,MCTS1,28985
ENSMUSG00000000359,19700,Rem1,REM1,28954
ENSMUSG00000000365,30054,Rnf17,RNF17,56163
ENSMUSG00000000374,216131,Trappc10,TRAPPC10,7109
ENSMUSG00000000378,216527,Ccm2,CCM2,83605
ENSMUSG00000000384,21379,Tbrg4,TBRG4,9238
ENSMUSG00000000385,50528,Tmprss2,TMPRSS2,7113
ENSMUSG00000000386,17857,Mx1,NA,NA
ENSMUSG00000000392,14089,Fap,FAP,2191
ENSMUSG00000000394,14526,Gcg,NA,NA
ENSMUSG00000000399,66108,Ndufa9,NDUFA9,4704
ENSMUSG00000000402,54156,Egfl6,EGFL6,25975
ENSMUSG00000000409,16818,Lck,LCK,3932
ENSMUSG00000000411,58864,Tssk3,TSSK3,81629
ENSMUSG00000000416,30785,Cttnbp2,CTTNBP2,83992
ENSMUSG00000000420,14423,Galnt1,GALNT1,2589
ENSMUSG00000000435,17877,Myf5,MYF5,4617
ENSMUSG00000000439,67027,Mkrn2,MKRN2,23609
ENSMUSG00000000440,19016,Pparg,PPARG,5468
ENSMUSG00000000441,110157,Raf1,RAF1,5894
ENSMUSG00000000486,54204,Septin1,SEPT1,1731
ENSMUSG00000000489,18591,Pdgfb,PDGFB,5155
ENSMUSG00000000530,11482,Acvrl1,ACVRL1,94
ENSMUSG00000000531,56149,Tamalin,GRASP,160622
ENSMUSG00000000532,11479,Acvr1b,ACVR1B,91
ENSMUSG00000000538,216810,Tom1l2,TOM1L2,146691
ENSMUSG00000000544,59290,Gpa33,GPA33,10223
ENSMUSG00000000552,29813,Zfp385a,ZNF385A,25946
ENSMUSG00000000555,16402,Itga5,ITGA5,3678
ENSMUSG00000000560,14395,Gabra2,GABRA2,2555
ENSMUSG00000000561,70465,Wdr77,WDR77,79084
