nutrient,description,key_vegan_sources,target_pathways,lincs_stratum,n_recipes_targeting,recipes
quercetin,Flavonoid antioxidant; senolytic; AMPK activator,onion; apple; broccoli; kale; capers; berry,Nrf2/ARE; AMPK; senescence clearance,liver_immune,11,Broccoli Sulforaphane Power Bowl; Spiced Chickpea and Spinach Curry; Kale Caesar with Capers and Nutritional Yeast; Golden Turmeric Lentil Soup; Mediterranean Quinoa with Herbs; Roasted Root Vegetables with Rosemary; Cruciferous Crunch Salad with Tahini; Green Tea Berry Antioxidant Smoothie; Overnight Oats with Berries and Flax; Spicy Peanut Soba Noodles; Cocoa-Chia Pudding with Raspberries
sulforaphane,Isothiocyanate; Nrf2 activator; anti-inflammatory,broccoli; brussels sprouts; cabbage; kale,Nrf2/ARE; Phase II detox; NF-kB inhibition,brain,2,Broccoli Sulforaphane Power Bowl; Cruciferous Crunch Salad with Tahini
curcumin,Polyphenol; anti-inflammatory; NF-kB inhibitor,turmeric; curry,NF-kB; Nrf2/ARE; COX-2 inhibition,brain,4,Broccoli Sulforaphane Power Bowl; Spiced Chickpea and Spinach Curry; Golden Turmeric Lentil Soup; Ginger-Green Tea Recovery Broth
ascorbic acid,Vitamin C; antioxidant; collagen synthesis,orange; lemon; pepper; broccoli; kiwi; strawberry,antioxidant; collagen synthesis; immune support,brain,11,Broccoli Sulforaphane Power Bowl; Spiced Chickpea and Spinach Curry; Kale Caesar with Capers and Nutritional Yeast; Golden Turmeric Lentil Soup; Mediterranean Quinoa with Herbs; Roasted Root Vegetables with Rosemary; Cruciferous Crunch Salad with Tahini; Green Tea Berry Antioxidant Smoothie; Ginger-Green Tea Recovery Broth; Overnight Oats with Berries and Flax; Cocoa-Chia Pudding with Raspberries
luteolin,Flavone; antioxidant; anti-inflammatory,celery; parsley; pepper; oregano; thyme,Nrf2/ARE; NF-kB inhibition; MAO inhibition,brain,3,Kale Caesar with Capers and Nutritional Yeast; Mediterranean Quinoa with Herbs; Roasted Root Vegetables with Rosemary
resveratrol,Stilbene; SIRT1 activator; mitochondrial biogenesis,grape; peanut; berry,SIRT1; AMPK; mitochondrial biogenesis,liver_immune,1,Spicy Peanut Soba Noodles
epigallocatechin gallate,Catechin; antioxidant; AMPK activator,green tea,AMPK; Nrf2/ARE; mTOR inhibition,liver_immune,3,Green Tea Berry Antioxidant Smoothie; Ginger-Green Tea Recovery Broth; Overnight Oats with Berries and Flax
gingerol,Phenol; anti-inflammatory; anti-nausea,ginger,NF-kB; COX-2 inhibition; 5-HT3 antagonism,liver_immune,4,Spiced Chickpea and Spinach Curry; Golden Turmeric Lentil Soup; Ginger-Green Tea Recovery Broth; Spicy Peanut Soba Noodles
allicin,Organosulfur; antimicrobial; cardiovascular,garlic; onion,cardiovascular; antimicrobial; antioxidant,liver_immune,7,Spiced Chickpea and Spinach Curry; Kale Caesar with Capers and Nutritional Yeast; Golden Turmeric Lentil Soup; Mediterranean Quinoa with Herbs; Roasted Root Vegetables with Rosemary; Cruciferous Crunch Salad with Tahini; Spicy Peanut Soba Noodles
lutein,Carotenoid; eye health; antioxidant,kale; spinach; broccoli,antioxidant; macular protection,brain,4,Broccoli Sulforaphane Power Bowl; Spiced Chickpea and Spinach Curry; Kale Caesar with Capers and Nutritional Yeast; Green Tea Berry Antioxidant Smoothie
