stratum,compound,lincs_rank,best_z_sum,n_reversing_sigs,moa,clinical_phase,drug_targets,n_targets,signature_gene_overlap,n_gene_overlap,foodb_matched,foodb_name,is_known_nutrient,vegan_food_sources,n_vegan_foods
liver_immune,Imatinib,1,-3.5436151397008966,4,Bcr-Abl kinase inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor,Launched,ABL1; CSF1R; DDR1; KIT; NTRK1; PDGFRA; PDGFRB; RET,8,,0,False,,False,,0
liver_immune,Metformin,2,-3.196221465562408,2,insulin sensitizer,Launched,ACACB; PRKAB1,2,,0,False,,False,,0
liver_immune,Glipizide,3,-2.87364760255411,2,sulfonylurea,Launched,ABCC8; KCNJ10; KCNJ11; PPARG,4,,0,False,,False,,0
liver_immune,Cadmium,4,-2.6910296186060982,5,,,,0,,0,True,Cadmium,False,"Garden onion; Cashew nut; Dill; Wild celery; Peanut; Horseradish; Asparagus; Brazil nut; Broccoli; Pepper; Endive; Mandarin orange (Clementine, Tangerine); Sweet orange; Common hazelnut; Cucumber",59
liver_immune,Quercetin,5,-2.281410665403011,1,polar auxin transport inhibitor,Launched,ATP5A1; ATP5B; ATP5C1; HCK; HIBCH; PIK3CG; PIM1; STK17B; UGT3A1,9,PIK3CG; PIM1,2,True,Quercetin,True,"Rubus (Blackberry, Raspberry); European cranberry; Bilberry; Black raspberry; Common grape; Black elderberry; Lingonberry; Lemon; Red raspberry; Sea-buckthornberry; Apple; Sweet orange; Pomegranate; Grape wine; Berry wine",212
liver_immune,Leptin,6,-1.852306273249476,1,,,,0,,0,True,Leptin,False,,0
liver_immune,Carboplatin,7,-1.7671528167115056,8,DNA alkylating agent|DNA inhibitor,Launched,,0,,0,False,,False,,0
liver_immune,Zinc,8,-1.3465119423447478,2,,,,0,,0,True,Zinc,False,Almond; Apple; Apricot; Globe artichoke; Asparagus; Avocado; Wheat bread; Banana; Barley; Common bean; Mung bean; Adzuki bean; Soy bean; Red beetroot; Bilberry,258
liver_immune,Levofloxacin,9,-1.2844447160647892,1,bacterial DNA gyrase inhibitor,Launched,TOP2A,1,,0,True,Levofloxacin,False,,0
liver_immune,Ciprofloxacin,10,-1.2510736643680402,2,bacterial DNA gyrase inhibitor,Launched,TOP2A,1,,0,False,,False,,0
liver_immune,Phenobarbital,11,-1.2131853908366617,2,,,,0,,0,False,,False,,0
liver_immune,Grepafloxacin,12,-1.1064554619345677,2,,,,0,,0,False,,False,,0
