name,meal_type,phase,ingredients,target_nutrients,nutrient_score,countermeasure_tags,preparation
Broccoli Sulforaphane Power Bowl,lunch,in_flight,broccoli (raw or lightly steamed); quinoa; avocado; sunflower seeds; lemon juice; garlic; olive oil; turmeric; black pepper,sulforaphane; curcumin; ascorbic acid; quercetin; lutein,143,Nrf2 activation; antioxidant; anti-inflammatory,"Lightly steam broccoli (maximizes sulforaphane). Cook quinoa. Toss with avocado, seeds, lemon-garlic-turmeric dressing."
Spiced Chickpea and Spinach Curry,dinner,in_flight,chickpeas; spinach; tomato; onion; garlic; ginger; turmeric; cumin; coriander; cinnamon; coconut milk,curcumin; gingerol; allicin; quercetin; lutein; ascorbic acid,137,anti-inflammatory; protein-rich; iron-rich,"Sauté onion, garlic, ginger with spices. Add tomatoes, chickpeas, coconut milk. Simmer 15 min. Add spinach at end."
Kale Caesar with Capers and Nutritional Yeast,lunch,pre_flight,kale (massaged); capers; nutritional yeast; garlic; lemon juice; olive oil; hemp seed; mustard; black pepper,quercetin; luteolin; ascorbic acid; lutein; allicin,127,senolytic; Nrf2 activation; B12-fortified,"Massage kale with olive oil and lemon. Add capers, nutritional yeast, hemp seeds. Toss with garlic-mustard dressing."
Golden Turmeric Lentil Soup,dinner,in_flight,red lentils; turmeric; ginger; garlic; onion; coconut milk; spinach; lemon juice; cumin; coriander,curcumin; gingerol; allicin; ascorbic acid; quercetin,124,anti-inflammatory; NF-kB inhibition; protein-rich,"Sauté onion, garlic, ginger. Add turmeric, cumin, coriander. Add lentils and water, cook 20 min. Stir in spinach and coconut milk."
Mediterranean Quinoa with Herbs,lunch,in_flight,quinoa; parsley; oregano; thyme; tomato; cucumber; olive oil; lemon juice; olive; red onion; mint,luteolin; quercetin; ascorbic acid; allicin,116,anti-inflammatory; Mediterranean diet; antioxidant,Cook quinoa. Chop herbs and vegetables. Toss with olive oil-lemon dressing.
Roasted Root Vegetables with Rosemary,dinner,pre_flight,sweet potato; carrot; beet; onion; garlic; rosemary; thyme; olive oil; black pepper; balsamic vinegar,quercetin; luteolin; allicin; ascorbic acid,114,beta-carotene; antioxidant; fiber-rich,"Cube vegetables. Toss with olive oil, herbs, garlic. Roast at 200°C for 35 min. Drizzle with balsamic."
Cruciferous Crunch Salad with Tahini,lunch,post_flight,"broccoli (raw, grated); brussels sprouts (shaved); cabbage; carrot; tahini; lemon juice; garlic; apple cider vinegar; pomegranate seeds; walnut",sulforaphane; quercetin; ascorbic acid; allicin,110,Nrf2 activation; senolytic; antioxidant,Grate broccoli and brussels sprouts. Shave cabbage. Toss with tahini-lemon-garlic dressing. Top with pomegranate and walnuts.
Green Tea Berry Antioxidant Smoothie,breakfast,in_flight,"green tea (brewed, chilled); blueberry; strawberry; banana; flax seed; spinach; lemon juice",epigallocatechin gallate; ascorbic acid; quercetin; lutein,98,AMPK activation; antioxidant; mitochondrial support,"Brew green tea, chill. Blend with berries, banana, spinach, flax, lemon."
Ginger-Green Tea Recovery Broth,snack,post_flight,ginger (fresh); green tea; lemon; turmeric; black pepper; honey substitute (agave); seaweed (nori),gingerol; epigallocatechin gallate; curcumin; ascorbic acid,88,anti-nausea; mitochondrial support; recovery,"Brew ginger and green tea. Add turmeric, black pepper, lemon, agave. Float nori strips."
Overnight Oats with Berries and Flax,breakfast,pre_flight,rolled oats; flax seed; chia seed; blueberry; strawberry; walnut; cinnamon; vanilla; soy milk,quercetin; ascorbic acid; epigallocatechin gallate,83,omega-3; fiber-rich; antioxidant,"Combine oats, seeds, soy milk, cinnamon, vanilla. Refrigerate overnight. Top with berries and walnuts in the morning."
Spicy Peanut Soba Noodles,dinner,in_flight,buckwheat soba noodles; peanut butter; ginger; garlic; soy sauce; rice vinegar; chili; cabbage; carrot; scallion,resveratrol; gingerol; allicin; quercetin,80,protein-rich; anti-inflammatory; resveratrol,"Cook soba noodles. Whisk peanut sauce with ginger, garlic, soy, vinegar. Toss with shredded cabbage and carrot."
Cocoa-Chia Pudding with Raspberries,breakfast,post_flight,chia seed; cocoa; raspberry; almond milk; vanilla; maple syrup; walnut,quercetin; ascorbic acid,69,omega-3; antioxidant; flavonoid-rich,"Mix chia, cocoa, almond milk, vanilla, maple syrup. Refrigerate 4+ hours. Top with raspberries and walnuts."
