rank,compound,n_reversing_sigs,median_z_sum,best_z_sum,best_p,method,drh_pert_iname,drh_clinical_phase,drh_moa,drh_target,drh_disease_area,drh_indication
28,Doxycycline,2,-1.9161742450809145,-3.814337986845596,0.0001533423141759,local_gmt_fallback,doxycycline,Launched,bacterial 30S ribosomal subunit inhibitor|metalloproteinase inhibitor,MMP8,dental,periodontitis
29,Laccaic,2,-1.8535153006750171,-3.638418724018064,0.0002299223956959,local_gmt_fallback,,,,,,
30,Cytarabine,2,-1.791082317921857,-3.58029100814679,0.0002628506115894,local_gmt_fallback,cytarabine,Launched,ribonucleotide reductase inhibitor,POLA1|POLB|POLD1|POLE,hematologic malignancy,acute lymphoblastic leukemia (ALL)|chronic lymphocytic leukemia (CLL)|acute myeloid leukemia (AML)|non-Hodgkin lymphoma (NHL)
31,Carboplatin,7,-0.0521738617073092,-3.4777359595090247,0.0003328618637119,local_gmt_fallback,carboplatin,Launched,DNA alkylating agent|DNA inhibitor,,oncology,ovarian cancer
32,Citalopram,1,-3.4220324106279643,-3.4220324106279643,0.0003784143432711,local_gmt_fallback,citalopram,Launched,selective serotonin reuptake inhibitor (SSRI),ADRA1A|CHRM1|HRH1|SLC6A2|SLC6A3|SLC6A4,neurology/psychiatry,depression
33,Sodium,6,-0.9543396735611508,-3.4220324106279643,0.0003784143432711,local_gmt_fallback,,,,,,
34,Hydrogen,2,-1.714400282410454,-3.418935989997031,0.0003811219922449,local_gmt_fallback,,,,,,
35,Dmnq,2,-1.6948343833985122,-3.3861380060976773,0.000411019090492,local_gmt_fallback,,,,,,
36,Temozolomide,2,-1.68662389838307,-3.3232031203786274,0.0004751129627084,local_gmt_fallback,temozolomide,Launched,DNA alkylating agent,MGMT,oncology,glioblastoma|astrocytoma
37,Plx4720,2,-1.6609245983544367,-3.3067871177720725,0.0004934156068748,local_gmt_fallback,PLX4720,Preclinical,RAF inhibitor,BRAF|KDR,,
38,Torcetrapib,2,-1.7011885241034126,-3.2351751779619504,0.0005818684667054,local_gmt_fallback,torcetrapib,Phase 3,cholesteryl ester transfer protein inhibitor,CETP,,
39,Nickel,4,-0.0910981620156455,-3.231107119028612,0.0005873444657513,local_gmt_fallback,,,,,,
40,Trastuzumab,2,-1.6176484819048476,-3.231107119028612,0.0005873444657513,local_gmt_fallback,,,,,,
41,Laminin,2,-1.6210478615003103,-3.216017040551714,0.0006081111401589,local_gmt_fallback,,,,,,
42,Ursodeoxycholic,2,-1.5879535511559313,-3.17118400759808,0.0006742422953272,local_gmt_fallback,,,,,,
43,Sirolimus,1,-3.0297547026373897,-3.0297547026373897,0.0009337815685629,local_gmt_fallback,sirolimus,Launched,mTOR inhibitor,FKBP1A|MTOR,transplant|pulmonary,organ rejection|lymphangioleiomyomatosis
44,Dactinomycin,2,-1.5353678795240688,-2.9559486155730226,0.0011067547241472,local_gmt_fallback,dactinomycin,Launched,RNA polymerase inhibitor,POLR2A,oncology,testicular carcinoma|Wilm's tumor|rhabdomyosarcoma|Ewing's sarcoma|gestational trophoblastic disease (GTD)
45,Curcumin,2,-1.4605229370477706,-2.921015802596023,0.0011994556579757,local_gmt_fallback,curcumin,Launched,cyclooxygenase inhibitor|histone acetyltransferase inhibitor|lipoxygenase inhibitor|NFkB pathway inhibitor,APP|CA1|CA12|CA14|CA2|CA4|CA6|CA9|CHRM3|CYP3A4|DNMT3B|EP300|MMP13|MMP9|NOS2|PTGS1|PTGS2|XDH,,
46,Bexarotene,2,-1.3517901280448237,-2.6755628231300075,0.0021107518416437,local_gmt_fallback,bexarotene,Launched,retinoid receptor agonist,RXRA|RXRB|RXRG,hematologic malignancy,cutaneous T-cell lymphoma (CTCL)
47,Perfluorooctanoic,2,-1.303673787249061,-2.601385513164088,0.0025038856249052,local_gmt_fallback,,,,,,
48,Promegestone,2,-1.3011401421468798,-2.5824432639242025,0.0026155121153872,local_gmt_fallback,,,,,,
50,Azacitidine,2,-1.227938404053447,-2.452030588754784,0.0035315829484333,local_gmt_fallback,azacitidine,Launched,DNA methyltransferase inhibitor,DNMT1|DNMT3A,hematologic malignancy|hematology,myelodysplastic diseases (MDS)|anemia|chronic myelomonocytic leukemia (CMMoL)
51,Argyrin,2,-1.2323536034102065,-2.4252370600069573,0.0037563230910708,local_gmt_fallback,,,,,,
52,Pertuzumab,2,-1.1773517894807708,-2.3282479468513926,0.0046962591382637,local_gmt_fallback,,,,,,
53,"Puromycin,",9,-0.4814626588401207,-2.323290260209033,0.0047501764234063,local_gmt_fallback,,,,,,
54,Alfacalcidol,1,-2.245321871536532,-2.245321871536532,0.0056843148930787,local_gmt_fallback,alfacalcidol,Launched,vitamin D receptor agonist,CYP27B1|VDR,endocrinology,vitamin D deficiency
55,Sorafenib,1,-2.2107230756878464,-2.2107230756878464,0.0061556926028208,local_gmt_fallback,sorafenib,Launched,FLT3 inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|RAF inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor,BRAF|DDR2|FGFR1|FLT1|FLT3|FLT4|KDR|KIT|PDGFRB|RAF1|RET,oncology,renal cell carcinoma (RCC)|thyroid cancer|hepatocellular carcinoma (HCC)
56,Dasatinib,2,-1.13477487974542,-2.2071156122042592,0.0062070377658284,local_gmt_fallback,dasatinib,Launched,Bcr-Abl kinase inhibitor|ephrin inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|SRC inhibitor|tyrosine kinase inhibitor,ABL1|ABL2|BLK|EPHA2|FGR|FRK|FYN|HCK|KIT|LCK|LYN|PDGFRB|SRC|SRMS|STAT5B|YES1,hematologic malignancy,chronic myeloid leukemia (CML)|acute lymphoblastic leukemia (ALL)
57,Decitabine,2,-1.134334511613234,-2.159814503839198,0.006921265293589,local_gmt_fallback,decitabine,Launched,DNA methyltransferase inhibitor,DNMT1|DNMT3A,hematologic malignancy|hematology,myelodysplastic diseases (MDS)|anemia|chronic myeloid leukemia (CML)
58,Menadione,1,-2.151126057449257,-2.151126057449257,0.0070611256969045,local_gmt_fallback,menadione,Launched,mitochondrial DNA polymerase inhibitor|phosphatase inhibitor,AOX1|BGLAP|F10|F2|F7|F9|GGCX|NQO1|NQO2|PROC|PROS1|PROZ|VKORC1|VKORC1L1,gastroenterology|neurology/psychiatry|dermatology|rheumatology,ulcerative colitis|diarrhea|headache|varicose veins|rheumatoid arthritis
59,Fluorouracil,2,-1.7347813998255193,-2.1240497269313905,0.0075153683775467,local_gmt_fallback,,,,,,
60,Monuron,2,-1.0671926659897482,-2.112440282321127,0.0077189764810275,local_gmt_fallback,,,,,,
62,Cadmium,4,-0.1923443530518131,-2.049590510423354,0.0089209168121308,local_gmt_fallback,,,,,,
63,Antimony,2,-1.2295245621574264,-2.0345753512505804,0.0092347394932658,local_gmt_fallback,,,,,,
64,Lapatinib,2,-0.9535967798633416,-1.8892664661913896,0.0129042727471609,local_gmt_fallback,lapatinib,Launched,EGFR inhibitor,EGFR|ERBB2,oncology,breast cancer
65,Gamma,2,-0.9123887179988808,-1.8229669437812317,0.0150325638172916,local_gmt_fallback,,,,,,
66,Hydrocortisone,2,-0.8656498394128522,-1.723928513056521,0.0188830214705753,local_gmt_fallback,hydrocortisone,Launched,glucocorticoid receptor agonist,ANXA1|NOS2|NR3C1|NR3C2,dermatology|neurology/psychiatry,eczema|psoriasis|seborrheic dermatitis|itching
67,Hodgkin,2,-0.8368515350314504,-1.6714017678634232,0.0213107253575515,local_gmt_fallback,,,,,,
68,Trovafloxacin,2,-0.7998377181305681,-1.5671658364537606,0.0270915693587845,local_gmt_fallback,trovafloxacin,Withdrawn,bacterial DNA gyrase inhibitor,TOP2A,,
69,Cigarette,2,-0.8110191915333653,-1.5543188412120583,0.0279049442237391,local_gmt_fallback,,,,,,
70,Pimecrolimus,1,-1.549414298108696,-1.549414298108696,0.0282218644683939,local_gmt_fallback,pimecrolimus,Launched,calcineurin inhibitor,,dermatology,eczema
71,Olanzapine,2,-0.7603839614238667,-1.489740472562957,0.0323787089114255,local_gmt_fallback,olanzapine,Launched,dopamine receptor antagonist|serotonin receptor antagonist,ADRA1A|ADRA1B|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRB2|ADRB3|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD3|DRD4|DRD5|GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|HRH1|HRH2|HRH4|HTR1A|HTR1B|HTR1D|HTR1E|HTR1F|HTR2A|HTR2B|HTR2C|HTR3A|HTR5A|HTR6|HTR7,neurology/psychiatry,schizophrenia|bipolar disorder
72,Aldosterone,2,-0.7559376774048693,-1.469278007546671,0.0339407935785787,local_gmt_fallback,,,,,,
73,"2,2',4,4',5,5'",2,-0.7355758176217972,-1.469278007546671,0.0339407935785787,local_gmt_fallback,,,,,,
74,Aplidin,2,-0.7638887211269062,-1.4188733916511702,0.0381176930372792,local_gmt_fallback,,,,,,
75,Bortezomib,2,-0.6660996665901273,-1.3298582739206075,0.0467887805178107,local_gmt_fallback,bortezomib,Launched,NFkB pathway inhibitor|proteasome inhibitor,PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMA8|PSMB1|PSMB10|PSMB11|PSMB2|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|PSMB8|PSMB9|PSMD1|PSMD2|RELA,hematologic malignancy,multiple myeloma|mantle cell lymphoma (MCL)
76,Cobalt,2,-0.659878077277034,-1.3035591499972556,0.0497096665591584,local_gmt_fallback,,,,,,
77,Valproic,2,-0.6943170381813955,-1.3030061909080155,0.0497729989741316,local_gmt_fallback,,,,,,
80,Cediranib,2,-0.6572051627154843,-1.2867915934058407,0.0516664243487421,local_gmt_fallback,cediranib,Phase 3,KIT inhibitor|VEGFR inhibitor,CSF1R|FLT1|FLT3|FLT4|KDR|KIT|PDGFRA|PDGFRB,,
81,Permethrin,2,-0.6462306838816448,-1.2834073638143026,0.0520706064966535,local_gmt_fallback,permethrin,Launched,,,infectious disease,lice
82,Estradiol,1,-1.2787556847398216,-1.2787556847398216,0.0526313264165602,local_gmt_fallback,estradiol,Launched,estrogen receptor agonist,ESR1|ESR2|GPER1|KCNMA1|NR1I2,endocrinology,contraceptive
83,Letrozole,2,-0.6601431921679773,-1.260835977881857,0.0548484074467641,local_gmt_fallback,letrozole,Launched,aromatase inhibitor,CYP19A1,oncology,breast cancer
84,Cycloheximide,2,-0.6036302173211511,-1.2009421081921352,0.0629590102136791,local_gmt_fallback,cycloheximide,Preclinical,protein synthesis inhibitor,RPL3,,
85,Mercury,2,-0.616405389042732,-1.2009421081921352,0.0629590102136791,local_gmt_fallback,,,,,,
86,Insulin,4,-0.0273537285736172,-1.1914764061370229,0.0643463021379282,local_gmt_fallback,,,,,,
87,Acrylamide,1,-1.1523524408064807,-1.1523524408064807,0.070412142494465,local_gmt_fallback,,,,,,
89,Fenretinide,2,-0.5517817591807871,-1.091089779070829,0.0810793430107472,local_gmt_fallback,fenretinide,Phase 3,apoptosis stimulant|retinoid receptor agonist,RARA,,
90,Cocaine,2,-0.8246154555537863,-1.0717053953324525,0.0847802327793964,local_gmt_fallback,,,,,,
91,Diethylstilbestrol,2,-0.5178813925611093,-1.0311198361449478,0.0930850987595565,local_gmt_fallback,diethylstilbestrol,Withdrawn,estrogen receptor agonist,ESR1|ESR2|ESRRB|ESRRG,,
92,R1881,2,-0.514480966538289,-1.0264548743576771,0.0940903590139137,local_gmt_fallback,,,,,,
93,Methamphetamine,2,-0.5901715795086171,-1.0095906306789315,0.0978158806559922,local_gmt_fallback,,,,,,
94,Interferon,4,-0.0404382014447436,-0.9940683794877244,0.1013751758372571,local_gmt_fallback,,,,,,
95,Dexamethasone,2,-0.5072704556477057,-0.9787771718108486,0.1050081066961878,local_gmt_fallback,dexamethasone,Launched,glucocorticoid receptor agonist,ANXA1|NOS2|NR0B1|NR3C1|NR3C2,endocrinology|rheumatology|allergy|gastroenterology|hematology|neurology/psychiatry|dermatology,hypercalcemia|rheumatoid arthritis|psoriatic arthritis|osteoarthritis|allergic rhinitis|ulcerative colitis|anemia|multiple sclerosis|enteritis|lupus|dermatitis herpetiformis (DH)|nephrotic syndrome|psoriasis
96,Gefitinib,2,-0.4918357039741848,-0.9783027348877656,0.105122883529289,local_gmt_fallback,gefitinib,Launched,EGFR inhibitor,EGFR,oncology,non-small cell lung cancer (NSCLC)
97,Glipizide,2,-0.7828747385776177,-0.9702459331234792,0.1070912694974836,local_gmt_fallback,glipizide,Launched,sulfonylurea,ABCC8|KCNJ10|KCNJ11|PPARG,endocrinology,diabetes mellitus|hyperglycemia
98,Pbde,4,-0.2082806874559447,-0.9277985117792812,0.1180868365109315,local_gmt_fallback,,,,,,
99,Caerulein,2,-0.5124328924848114,-0.9270224620988392,0.118298036934065,local_gmt_fallback,,,,,,
100,Phorbol,4,-0.0082179059824963,-0.9127244159532786,0.1222575206162844,local_gmt_fallback,,,,,,
101,Heroin,2,-0.8237195333818219,-0.8916716275897939,0.1283300526399206,local_gmt_fallback,,,,,,
102,Colchicine,2,-0.4456480981629464,-0.8815969842781455,0.1313418156819204,local_gmt_fallback,colchicine,Launched,microtubule inhibitor,GLRA1|GLRA2|TUBA1A|TUBA1B|TUBA1C|TUBA3C|TUBA3D|TUBA3E|TUBA4A|TUBB|TUBB1|TUBB2A|TUBB2B|TUBB3|TUBB4A|TUBB4B|TUBB6|TUBB8,rheumatology|endocrinology,gout|fever
103,Calcitriol,2,-0.6403580252878335,-0.852435646569072,0.140463780633553,local_gmt_fallback,calcitriol,Launched,vitamin D receptor agonist,VDR,endocrinology|orthopedics,hypocalcemia|hypoparathyroidism|osteoporosis
104,Azathioprine,1,-0.850375446038664,-0.850375446038664,0.1411316938608124,local_gmt_fallback,azathioprine,Launched,dehydrogenase inhibitor,HPRT1|IMPDH1|PPAT,transplant|rheumatology,renal homotransplantation|rheumatoid arthritis
105,Cyclophosphamide,2,-0.6369595497189218,-0.8180364693569647,0.1520419848942839,local_gmt_fallback,cyclophosphamide,Launched,DNA alkylating agent,CYP2A6|CYP2B6|CYP2C18|CYP2C19|CYP2C8|CYP2C9|CYP2D6|CYP3A4|CYP3A5|CYP3A7,hematologic malignancy|oncology,Hodgkin's lymphoma|small lymphocytic lymphoma (SLL)|breast cancer|neuroblastoma|Burkitt's lymphoma|multiple myeloma|chronic lymphocytic leukemia (CLL)|acute myeloid leukemia (AML)|acute lymphoblastic leukemia (ALL)|chronic myeloid leukemia (CML)|true histiocytic lymphoma (THL)|retinoblastoma|ovarian cancer
106,Amoxicillin,1,-0.8080232189298155,-0.8080232189298155,0.1555882446364284,local_gmt_fallback,amoxicillin,Launched,penicillin binding protein inhibitor,CYP2C19|SLC15A1|SLC15A2|SLC22A6,infectious disease|gastroenterology,skin infections|duodenal ulcer disease|gonorrhea|ear infections|throat infections|genitourinary tract infections|respiratory tract infections
107,Haloperidol,2,-0.7680839159303006,-0.7987168724480124,0.1589582700027413,local_gmt_fallback,haloperidol,Launched,dopamine receptor antagonist,DRD1|DRD2|DRD3|DRD4|DRD5|GRIN2B|HRH1|HTR1A|HTR1D|HTR2A|HTR2B|HTR7|KCNH1,neurology/psychiatry,schizophrenia|Tourette's disorder
108,Nvp,3,-0.0664776128278431,-0.7852257304461783,0.1639737275985542,local_gmt_fallback,,,,,,
109,Chromium,2,-0.3871015314118101,-0.7453712641781935,0.1797333776213062,local_gmt_fallback,,,,,,
110,Chromium(iii),2,-0.4606767728314287,-0.7407549064587022,0.1816540535905761,local_gmt_fallback,,,,,,
111,Cyclosporine,2,-0.3996054112543598,-0.7390275383710031,0.1823780053776515,local_gmt_fallback,,,,,,
112,Fluoxetine,2,-0.5900836639254754,-0.7268509411396127,0.1875638155463788,local_gmt_fallback,fluoxetine,Launched,selective serotonin reuptake inhibitor (SSRI),ANO1|HTR2B|SLC6A4,neurology/psychiatry,depression|obsessive compulsive disorder (OCD)|bulimia nervosa|panic disorders|bipolar disorder
113,Tamoxifen,2,-0.3485129247799466,-0.6474825298883669,0.2251735994197525,local_gmt_fallback,tamoxifen,Launched,estrogen receptor antagonist|selective estrogen receptor modulator (SERM),EBP|ESR1|ESR2|GPER1|PRKCA|PRKCB|PRKCD|PRKCE|PRKCG|PRKCI|PRKCQ|PRKCZ,oncology,breast cancer
114,Resveratrol,2,-0.4356674503392856,-0.6237322574352783,0.2378306060530995,local_gmt_fallback,resveratrol,Launched,cytochrome P450 inhibitor|SIRT activator,CSNK2A1|NQO2|PTGS1|PTGS2,,
115,Methylprednisolone,2,-0.3209897941388293,-0.6159009058287515,0.2421581522647071,local_gmt_fallback,methylprednisolone,Launched,glucocorticoid receptor agonist,NR3C1,endocrinology|rheumatology|dermatology|infectious disease|allergy|hematology|neurology/psychiatry|gastroenterology,hypercalcemia|thyroiditis|ankylosing spondylitis|bursitis|osteoarthritis|psoriatic arthritis|seborrheic dermatitis|mycosis|allergic rhinitis|psoriasis|anemia|multiple sclerosis|ulcerative colitis|enteritis
116,Oprelvekin,1,-0.6098606431879461,-0.6098606431879461,0.2455496711322957,local_gmt_fallback,,,,,,
117,Imatinib,3,-0.0348774082220318,-0.6061392730659028,0.2476627705273363,local_gmt_fallback,imatinib,Launched,Bcr-Abl kinase inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor,ABL1|CSF1R|DDR1|KIT|NTRK1|PDGFRA|PDGFRB|RET,hematologic malignancy|oncology,chronic myeloid leukemia (CML)|acute lymphoblastic leukemia (ALL)|myelodysplastic diseases (MDS)|aggressive systemic mastocytosis (ASM)|hypereosinophilic syndrome (HES)|chronic eosinophilic leukemia (CEL)|dermatofibrosarcoma protuberans (DFSP)|gastrointestinal stromal tumors (GIST)
119,Testosterone,2,-0.3661707115256052,-0.5754285949692672,0.2658100548311764,local_gmt_fallback,,,,,,
120,Rosiglitazone,3,-0.3361722322603119,-0.5613290690559203,0.2745812836206474,local_gmt_fallback,rosiglitazone,Withdrawn,insulin sensitizer|PPAR receptor agonist,FFAR1|PPARG|TRPC5|TRPM3,,
121,Simvastatin,2,-0.2800174888097981,-0.5403596121146974,0.2881644405346143,local_gmt_fallback,simvastatin,Launched,HMGCR inhibitor,HMGCR|ITGB2,endocrinology|cardiology|neurology/psychiatry,hypercholesterolemia|coronary heart disease|myocardial infarction|stroke|hyperlipidemia
122,Arsenic,1,-0.5348925728437279,-0.5348925728437279,0.2918148758501012,local_gmt_fallback,,,,,,
123,Captopril,2,-0.4789279763050118,-0.5202104550325293,0.3018488634650949,local_gmt_fallback,captopril,Launched,angiotensin converting enzyme inhibitor,ACE|LTA4H|MMP2|MMP9,cardiology|endocrinology|nephrology,hypertension|congestive heart failure|myocardial infarction|diabetes mellitus|diabetic nephropathy
124,Natural,2,-0.2627592998790654,-0.5078492679354182,0.3105637285204632,local_gmt_fallback,,,,,,
125,Hydroxyzine,1,-0.4824372314345133,-0.4824372314345133,0.3292780404375089,local_gmt_fallback,hydroxyzine,Launched,antihistamine,HRH1,neurology/psychiatry|allergy|dermatology,anxiety|urticaria|itching|dermatosis
126,Colistin,2,-0.2363688923807799,-0.4694966321956323,0.3392371201984581,local_gmt_fallback,colistin,Launched,bacterial permeability inducer,,infectious disease,gram-negative bacterial infections|gram-negative bacterial infections
127,Vitamin,6,-0.1841272145631714,-0.4678740521422318,0.3405069243187605,local_gmt_fallback,,,,,,
128,Fluticasone,1,-0.4569398102606335,-0.4569398102606335,0.3491887068852609,local_gmt_fallback,,,,,,
129,Levetiracetam,2,-0.2558858459159507,-0.4563153982776213,0.349691118129745,local_gmt_fallback,levetiracetam,Launched,calcium channel blocker,CACNA1B|SCN1A|SV2A,neurology/psychiatry,seizures
130,Ethanol,2,-0.2212688852745633,-0.4399024875006141,0.3631595861389841,local_gmt_fallback,,,,,,
131,Tretinoin,1,-0.4359944380464299,-0.4359944380464299,0.3664422675967709,local_gmt_fallback,tretinoin,Launched,retinoid receptor agonist|retinoid receptor ligand,ALDH1A1|ALDH1A2|GPRC5A|NR0B1|NR2C2|PPARD|RARA|RARB|RARG|RARRES1|RORB|RORC|RXRB|RXRG,hematologic malignancy,acute promyelocytic leukemia (APL)
132,Sunitinib,2,-0.3080188155506294,-0.4336384869675128,0.3684355371214941,local_gmt_fallback,sunitinib,Launched,FLT3 inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor,CSF1R|FGFR1|FLT1|FLT3|FLT4|KDR|KIT|PDGFRA|PDGFRB|RET,oncology,gastrointestinal stromal tumors (GIST)|renal cell carcinoma (RCC)|neuroendocrine tumors of pancreatic origin (PNET)
133,Nsc319726,2,-0.2185153020248764,-0.4305124031218578,0.3710971310882578,local_gmt_fallback,,,,,,
134,Mln4924,2,-0.2158613986740847,-0.4124238700435642,0.3868798670674686,local_gmt_fallback,,,,,,
135,Nitric,2,-0.200928123807116,-0.3970516231055612,0.4008190707980676,local_gmt_fallback,,,,,,
136,Fasudil,2,-0.1924812367452449,-0.3839346339521557,0.4131096748149314,local_gmt_fallback,fasudil,Launched,rho associated kinase inhibitor,PKIA|PRKACA|ROCK1|ROCK2,neurology/psychiatry,cerebral vasospasm
137,Soman,2,-0.251808596706571,-0.3711852738649005,0.4254168878115545,local_gmt_fallback,,,,,,
138,Nilotinib,2,-0.1844145608204842,-0.3682756569709929,0.42827659683129,local_gmt_fallback,nilotinib,Launched,Abl kinase inhibitor|Bcr-Abl kinase inhibitor,ABL1|KIT,hematologic malignancy,chronic myeloid leukemia (CML)
139,Palmitic,2,-0.1804530690749203,-0.3582669175789787,0.4382612594228209,local_gmt_fallback,,,,,,
140,Fgfr,2,-0.2819296365072161,-0.3556883448070378,0.4408711246911777,local_gmt_fallback,,,,,,
141,Capsaicin,2,-0.2002996261516891,-0.3446870149790121,0.452181702865462,local_gmt_fallback,capsaicin,Launched,TRPV agonist,CFTR|TRPV1,neurology/psychiatry|rheumatology,muscle pain|rheumatoid arthritis
142,Ciprofloxacin,2,-0.1747532179016029,-0.3315793422679124,0.4660372787908453,local_gmt_fallback,ciprofloxacin,Launched,bacterial DNA gyrase inhibitor,TOP2A,otolaryngology,otitis
143,Deferasirox,2,-0.183190054842018,-0.3315027014620043,0.4661195285680589,local_gmt_fallback,deferasirox,Launched,chelating agent,CYP3A4,hematology,transfusional hemosiderosis|thalassemia|iron overload
144,Hypochlorous,2,-0.1646781570625531,-0.3280266407450013,0.4698652849712502,local_gmt_fallback,,,,,,
145,Dapt,2,-0.2412197768602075,-0.3273308369768087,0.4706186817737371,local_gmt_fallback,DAPT,Preclinical,gamma secretase inhibitor,,,
146,Harman,2,-0.1611994714173342,-0.3189281011786705,0.479812876596878,local_gmt_fallback,,,,,,
147,Diclofenac,2,-0.1596127072473755,-0.3178012962702498,0.4810593982929224,local_gmt_fallback,diclofenac,Launched,cyclooxygenase inhibitor,AKR1C3|ALOX5|ASIC1|ASIC3|KCNQ2|KCNQ3|PLA2G2A|PPARG|PTGS1|PTGS2|SCN4A,rheumatology|neurology/psychiatry,rheumatoid arthritis|osteoarthritis|migraine headache
148,Folic,2,-0.1748886469500094,-0.3144593717087208,0.4847754612949878,local_gmt_fallback,,,,,,
149,Clozapine,2,-0.176267906285013,-0.312908962675052,0.4865091776348116,local_gmt_fallback,clozapine,Launched,dopamine receptor antagonist|serotonin receptor antagonist,ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|CALY|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD3|DRD4|DRD5|HRH1|HRH4|HTR1A|HTR1B|HTR1D|HTR1E|HTR1F|HTR2A|HTR2B|HTR2C|HTR3A|HTR5A|HTR6|HTR7,neurology/psychiatry,schizophrenia
150,Plx4032,2,-0.1615609956326473,-0.3104345151114535,0.4892890367890236,local_gmt_fallback,,,,,,
151,Apratoxin,1,-0.3073384485316998,-0.3073384485316998,0.4927896201002039,local_gmt_fallback,,,,,,
152,Pristane,2,-0.1555617820566872,-0.3073118362000649,0.4928198177728752,local_gmt_fallback,,,,,,
